Departmant,Item,Tdate,TypeID,Qty,Cost,Rate
MARS,Zovirax,12/02/2020,1,12,17.74,18.97
W/SALE,Zoloft,12/02/2020,1,6,17.49,18.93
NOV 18TH,Lisinopril,07/01/2020,1,6,11.07,12.06
MABELLA1,NyQuill,06/01/2020,1,12,15.51,16.88
NOV 18TH,AL CREAM 15GM,08/01/2020,1,7,9.13,10.26
NOV 18TH,BE PLUS 30G,08/01/2020,1,22,18.02,19.34
W/SALE,Magne B6,15/02/2020,1,11,18.35,19.8
SQGM,Amaryl,10/01/2020,1,7,20.07,21.69
NOV 18TH,Sebastian 20GM CREAM,09/01/2020,1,10,15.34,16.38
SHELL,Magne B6,19/01/2020,1,6,18.35,19.8
ALKHUWAIR,AL CREAM 15GM,04/02/2020,1,9,9.13,10.26
MABELLA1,A D  25GM. CREAM,13/02/2020,1,28,16.69,18.08
MARS,Risperdal,21/01/2020,1,1,9.75,10.7
SQGM,Advil,15/01/2020,1,1,4.97,5.82
MSQ,Risperdal,29/01/2020,1,29,9.75,10.7
SHELL,Zoloft,01/01/2020,1,22,17.49,18.93
MSQ,Amaryl,17/02/2020,1,17,20.07,21.69
MABELLA1,Visine,03/01/2020,1,24,6.63,7.56
W/SALE,NyQuill,29/01/2020,1,16,15.51,16.88
MARS,BON CREAM 15G,20/01/2020,1,14,7.93,8.87
NOV 18TH,Miralax,06/01/2020,1,13,19.21,20.87
MABELLA1,NyQuill,04/02/2020,1,1,15.51,16.88
NOV 18TH,Emend,27/01/2020,1,24,3.42,4.2
NOV 18TH,Advil,11/02/2020,1,20,4.97,5.82
NOV 18TH,Emend,20/01/2020,1,7,3.42,4.2
MABELLA1,AL CREAM 15GM,04/01/2020,1,28,9.13,10.26
MABELLA1,Amaryl,25/01/2020,1,19,20.07,21.69
W/SALE,Magne B6,15/01/2020,1,10,18.35,19.8
SHELL,Advil,24/01/2020,1,4,4.97,5.82
HAIL,Zovirax,10/01/2020,1,15,17.74,18.97
MSQ,Lisinopril,20/01/2020,1,29,11.07,12.06
ALKHUWAIR,Miralax,01/02/2020,1,28,19.21,20.87
SQGM,BON CREAM 15G,13/01/2020,1,19,7.93,8.87
MSQ,Emend,01/01/2020,1,22,3.42,4.2
HAIL,Zoloft,24/01/2020,1,5,17.49,18.93
MABELLA1,Emend,08/01/2020,1,20,3.42,4.2
MABELLA1,Risperdal,26/01/2020,1,26,9.75,10.7
W/SALE,A 5 MG TAB,16/01/2020,1,9,11.28,12.18
SHELL,Miralax,10/01/2020,1,10,19.21,20.87
SHELL,Advil,30/01/2020,1,23,4.97,5.82
W/SALE,Amaryl,24/01/2020,1,20,20.07,21.69
NOV 18TH,BE PLUS 30G,15/01/2020,1,22,18.02,19.34
MSQ,Emend,13/01/2020,1,27,3.42,4.2
MARS,Risperdal,17/02/2020,1,24,9.75,10.7
HAIL,Miralax,09/02/2020,1,1,19.21,20.87
W/SALE,Magne B6,13/01/2020,1,27,18.35,19.8
HAIL,Visine,20/01/2020,1,3,6.63,7.56
NOV 18TH,Zoloft,07/02/2020,1,7,17.49,18.93
W/SALE,AM 10 MG TAB,30/01/2020,1,5,11.41,12.67
MSQ,AL CREAM 15GM,27/01/2020,1,29,9.13,10.26
HAIL,A 5 MG TAB,26/01/2020,1,29,11.28,12.18
HAIL,Lisinopril,20/01/2020,1,10,11.07,12.06
HAIL,A D  25GM. CREAM,24/01/2020,1,16,16.69,18.08
SQGM,BON CREAM 15G,09/02/2020,1,12,7.93,8.87
MARS,BON CREAM 15G,01/01/2020,1,9,7.93,8.87
MARS,BE PLUS 30G,11/01/2020,1,25,18.02,19.34
NOV 18TH,A 5 MG TAB,04/02/2020,1,5,11.28,12.18
W/SALE,Visine,12/01/2020,1,8,6.63,7.56
MSQ,Emend,11/02/2020,1,12,3.42,4.2
SHELL,Visine,02/02/2020,1,10,6.63,7.56
HAIL,Magne B6,13/01/2020,1,2,18.35,19.8
HAIL,Lisinopril,26/01/2020,1,25,11.07,12.06
MABELLA1,BON CREAM 15G,07/01/2020,1,12,7.93,8.87
MABELLA1,Panadol,16/01/2020,1,21,2.1,2.9
MSQ,Visine,15/02/2020,1,11,6.63,7.56
HAIL,Miralax,19/01/2020,1,5,19.21,20.87
NOV 18TH,NyQuill,03/02/2020,1,22,15.51,16.88
NOV 18TH,AL CREAM 15GM,02/01/2020,1,21,9.13,10.26
SQGM,A 5 MG TAB,02/01/2020,1,29,11.28,12.18
SHELL,Emend,08/01/2020,1,16,3.42,4.2
MSQ,Panadol,10/01/2020,1,9,2.1,2.9
SHELL,Emend,07/01/2020,1,8,3.42,4.2
SHELL,Amaryl,11/01/2020,1,26,20.07,21.69
ALKHUWAIR,Zoloft,08/01/2020,1,10,17.49,18.93
ALKHUWAIR,Amaryl,20/01/2020,1,27,20.07,21.69
W/SALE,Risperdal,18/01/2020,1,26,9.75,10.7
ALKHUWAIR,BON CREAM 15G,23/01/2020,1,18,7.93,8.87
ALKHUWAIR,BE PLUS 30G,03/01/2020,1,6,18.02,19.34
MSQ,NyQuill,05/01/2020,1,8,15.51,16.88
MSQ,Magne B6,07/02/2020,1,14,18.35,19.8
SQGM,BON CREAM 15G,16/01/2020,1,19,7.93,8.87
NOV 18TH,Amaryl,11/02/2020,1,22,20.07,21.69
MABELLA1,A D  25GM. CREAM,06/02/2020,1,25,16.69,18.08
MARS,Sebastian 20GM CREAM,05/02/2020,1,16,15.34,16.38
SQGM,Zoloft,12/01/2020,1,2,17.49,18.93
NOV 18TH,Risperdal,08/02/2020,1,2,9.75,10.7
MARS,Emend,29/01/2020,1,9,3.42,4.2
MSQ,Zoloft,12/02/2020,1,10,17.49,18.93
ALKHUWAIR,Lisinopril,21/01/2020,1,7,11.07,12.06
HAIL,Lisinopril,02/02/2020,1,19,11.07,12.06
W/SALE,Advil,04/01/2020,1,24,4.97,5.82
MSQ,Visine,20/01/2020,1,13,6.63,7.56
HAIL,Visine,12/01/2020,1,18,6.63,7.56
ALKHUWAIR,A 5 MG TAB,05/02/2020,1,4,11.28,12.18
SHELL,BON CREAM 15G,09/02/2020,1,3,7.93,8.87
W/SALE,AM 10 MG TAB,23/01/2020,1,17,11.41,12.67
NOV 18TH,A 5 MG TAB,20/01/2020,1,17,11.28,12.18
SHELL,Amaryl,07/02/2020,1,20,20.07,21.69
NOV 18TH,Zovirax,03/01/2020,2,9,17.74,18.97
SQGM,Amaryl,28/01/2020,2,11,20.07,21.69
NOV 18TH,A 5 MG TAB,20/01/2020,2,26,11.28,12.18
