Departmant,Item,Tdate,TypeID,Qty,Cost,Rate
MARS,Zovirax,12/02/2020,1,12,1.774,1.897
W/SALE,Zoloft,12/02/2020,1,6,1.749,1.893
NOV 18TH,Lisinopril,07/01/2020,1,6,1.107,1.206
MABELLA1,NyQuill,06/01/2020,1,12,1.551,1.688
NOV 18TH,AL CREAM 15GM,08/01/2020,1,7,0.913,1.026
NOV 18TH,BE PLUS 30G,08/01/2020,1,22,1.802,1.934
W/SALE,Magne B6,15/02/2020,1,11,1.835,1.98
SQGM,Amaryl,10/01/2020,1,7,2.007,2.169
NOV 18TH,Sebastian 20GM CREAM,09/01/2020,1,10,1.534,1.638
SHELL,Magne B6,19/01/2020,1,6,1.835,1.98
ALKHUWAIR,AL CREAM 15GM,04/02/2020,1,9,0.913,1.026
MABELLA1,A D  25GM. CREAM,13/02/2020,1,28,1.669,1.808
MARS,Risperdal,21/01/2020,1,1,0.975,1.07
SQGM,Advil,15/01/2020,1,1,0.497,0.582
MSQ,Risperdal,29/01/2020,1,29,0.975,1.07
SHELL,Zoloft,01/01/2020,1,22,1.749,1.893
MSQ,Amaryl,17/02/2020,1,17,2.007,2.169
MABELLA1,Visine,03/01/2020,1,24,0.663,0.756
W/SALE,NyQuill,29/01/2020,1,16,1.551,1.688
MARS,BON CREAM 15G,20/01/2020,1,14,0.793,0.887
NOV 18TH,Miralax,06/01/2020,1,13,1.921,2.087
MABELLA1,NyQuill,04/02/2020,1,1,1.551,1.688
NOV 18TH,Emend,27/01/2020,1,24,0.342,0.42
NOV 18TH,Advil,11/02/2020,1,20,0.497,0.582
NOV 18TH,Emend,20/01/2020,1,7,0.342,0.42
MABELLA1,AL CREAM 15GM,04/01/2020,1,28,0.913,1.026
MABELLA1,Amaryl,25/01/2020,1,19,2.007,2.169
W/SALE,Magne B6,15/01/2020,1,10,1.835,1.98
SHELL,Advil,24/01/2020,1,4,0.497,0.582
HAIL,Zovirax,10/01/2020,1,15,1.774,1.897
MSQ,Lisinopril,20/01/2020,1,29,1.107,1.206
ALKHUWAIR,Miralax,01/02/2020,1,28,1.921,2.087
SQGM,BON CREAM 15G,13/01/2020,1,19,0.793,0.887
MSQ,Emend,01/01/2020,1,22,0.342,0.42
HAIL,Zoloft,24/01/2020,1,5,1.749,1.893
MABELLA1,Emend,08/01/2020,1,20,0.342,0.42
MABELLA1,Risperdal,26/01/2020,1,26,0.975,1.07
W/SALE,A 5 MG TAB,16/01/2020,1,9,1.128,1.218
SHELL,Miralax,10/01/2020,1,10,1.921,2.087
SHELL,Advil,30/01/2020,1,23,0.497,0.582
W/SALE,Amaryl,24/01/2020,1,20,2.007,2.169
NOV 18TH,BE PLUS 30G,15/01/2020,1,22,1.802,1.934
MSQ,Emend,13/01/2020,1,27,0.342,0.42
MARS,Risperdal,17/02/2020,1,24,0.975,1.07
HAIL,Miralax,09/02/2020,1,1,1.921,2.087
W/SALE,Magne B6,13/01/2020,1,27,1.835,1.98
HAIL,Visine,20/01/2020,1,3,0.663,0.756
NOV 18TH,Zoloft,07/02/2020,1,7,1.749,1.893
W/SALE,AM 10 MG TAB,30/01/2020,1,5,1.141,1.267
MSQ,AL CREAM 15GM,27/01/2020,1,29,0.913,1.026
HAIL,A 5 MG TAB,26/01/2020,1,29,1.128,1.218
HAIL,Lisinopril,20/01/2020,1,10,1.107,1.206
HAIL,A D  25GM. CREAM,24/01/2020,1,16,1.669,1.808
SQGM,BON CREAM 15G,09/02/2020,1,12,0.793,0.887
MARS,BON CREAM 15G,01/01/2020,1,9,0.793,0.887
MARS,BE PLUS 30G,11/01/2020,1,25,1.802,1.934
NOV 18TH,A 5 MG TAB,04/02/2020,1,5,1.128,1.218
W/SALE,Visine,12/01/2020,1,8,0.663,0.756
MSQ,Emend,11/02/2020,1,12,0.342,0.42
SHELL,Visine,02/02/2020,1,10,0.663,0.756
HAIL,Magne B6,13/01/2020,1,2,1.835,1.98
HAIL,Lisinopril,26/01/2020,1,25,1.107,1.206
MABELLA1,BON CREAM 15G,07/01/2020,1,12,0.793,0.887
MABELLA1,Panadol,16/01/2020,1,21,0.21,0.29
MSQ,Visine,15/02/2020,1,11,0.663,0.756
HAIL,Miralax,19/01/2020,1,5,1.921,2.087
NOV 18TH,NyQuill,03/02/2020,1,22,1.551,1.688
NOV 18TH,AL CREAM 15GM,02/01/2020,1,21,0.913,1.026
SQGM,A 5 MG TAB,02/01/2020,1,29,1.128,1.218
SHELL,Emend,08/01/2020,1,16,0.342,0.42
MSQ,Panadol,10/01/2020,1,9,0.21,0.29
SHELL,Emend,07/01/2020,1,8,0.342,0.42
SHELL,Amaryl,11/01/2020,1,26,2.007,2.169
ALKHUWAIR,Zoloft,08/01/2020,1,10,1.749,1.893
ALKHUWAIR,Amaryl,20/01/2020,1,27,2.007,2.169
W/SALE,Risperdal,18/01/2020,1,26,0.975,1.07
ALKHUWAIR,BON CREAM 15G,23/01/2020,1,18,0.793,0.887
ALKHUWAIR,BE PLUS 30G,03/01/2020,1,6,1.802,1.934
MSQ,NyQuill,05/01/2020,1,8,1.551,1.688
MSQ,Magne B6,07/02/2020,1,14,1.835,1.98
SQGM,BON CREAM 15G,16/01/2020,1,19,0.793,0.887
NOV 18TH,Amaryl,11/02/2020,1,22,2.007,2.169
MABELLA1,A D  25GM. CREAM,06/02/2020,1,25,1.669,1.808
MARS,Sebastian 20GM CREAM,05/02/2020,1,16,1.534,1.638
SQGM,Zoloft,12/01/2020,1,2,1.749,1.893
NOV 18TH,Risperdal,08/02/2020,1,2,0.975,1.07
MARS,Emend,29/01/2020,1,9,0.342,0.42
MSQ,Zoloft,12/02/2020,1,10,1.749,1.893
ALKHUWAIR,Lisinopril,21/01/2020,1,7,1.107,1.206
HAIL,Lisinopril,02/02/2020,1,19,1.107,1.206
W/SALE,Advil,04/01/2020,1,24,0.497,0.582
MSQ,Visine,20/01/2020,1,13,0.663,0.756
HAIL,Visine,12/01/2020,1,18,0.663,0.756
ALKHUWAIR,A 5 MG TAB,05/02/2020,1,4,1.128,1.218
SHELL,BON CREAM 15G,09/02/2020,1,3,0.793,0.887
W/SALE,AM 10 MG TAB,23/01/2020,1,17,1.141,1.267
NOV 18TH,A 5 MG TAB,20/01/2020,1,17,1.128,1.218
SHELL,Amaryl,07/02/2020,1,20,2.007,2.169
NOV 18TH,Zovirax,03/01/2020,2,9,1.774,1.897
SQGM,Amaryl,28/01/2020,2,11,2.007,2.169
NOV 18TH,A 5 MG TAB,20/01/2020,2,26,1.128,1.218
