Departmant,Item,Tdate,TypeID,Qty,Cost,Rate,DeptID,ItemID
MARS,Zovirax,12/02/2020,1,12,1.774,1.897,8,15
W/SALE,Zoloft,12/02/2020,1,6,1.749,1.893,9,12
NOV 18TH,Lisinopril,07/01/2020,1,6,1.107,1.206,2,11
MABELLA1,NyQuill,06/01/2020,1,12,1.551,1.688,1,10
NOV 18TH,AL CREAM 15GM,08/01/2020,1,7,0.913,1.026,2,3
NOV 18TH,BE PLUS 30G,08/01/2020,1,22,1.802,1.934,2,14
W/SALE,Magne B6,15/02/2020,1,11,1.835,1.98,9,16
SQGM,Amaryl,10/01/2020,1,7,2.007,2.169,5,17
NOV 18TH,Sebastian 20GM CREAM,09/01/2020,1,10,1.534,1.638,2,7
SHELL,Magne B6,19/01/2020,1,6,1.835,1.98,4,16
ALKHUWAIR,AL CREAM 15GM,04/02/2020,1,9,0.913,1.026,6,3
MABELLA1,A D  25GM. CREAM,13/02/2020,1,28,1.669,1.808,1,8
MARS,Risperdal,21/01/2020,1,1,0.975,1.07,8,18
SQGM,Advil,15/01/2020,1,1,0.497,0.582,5,6
MSQ,Risperdal,29/01/2020,1,29,0.975,1.07,7,18
SHELL,Zoloft,01/01/2020,1,22,1.749,1.893,4,12
MSQ,Amaryl,17/02/2020,1,17,2.007,2.169,7,17
MABELLA1,Visine,03/01/2020,1,24,0.663,0.756,1,5
W/SALE,NyQuill,29/01/2020,1,16,1.551,1.688,9,10
MARS,BON CREAM 15G,20/01/2020,1,14,0.793,0.887,8,19
NOV 18TH,Miralax,06/01/2020,1,13,1.921,2.087,2,4
MABELLA1,NyQuill,04/02/2020,1,1,1.551,1.688,1,10
NOV 18TH,Emend,27/01/2020,1,24,0.342,0.42,2,9
NOV 18TH,Advil,11/02/2020,1,20,0.497,0.582,2,6
NOV 18TH,Emend,20/01/2020,1,7,0.342,0.42,2,9
MABELLA1,AL CREAM 15GM,04/01/2020,1,28,0.913,1.026,1,3
MABELLA1,Amaryl,25/01/2020,1,19,2.007,2.169,1,17
W/SALE,Magne B6,15/01/2020,1,10,1.835,1.98,9,16
SHELL,Advil,24/01/2020,1,4,0.497,0.582,4,6
HAIL,Zovirax,10/01/2020,1,15,1.774,1.897,3,15
MSQ,Lisinopril,20/01/2020,1,29,1.107,1.206,7,11
ALKHUWAIR,Miralax,01/02/2020,1,28,1.921,2.087,6,4
SQGM,BON CREAM 15G,13/01/2020,1,19,0.793,0.887,5,19
MSQ,Emend,01/01/2020,1,22,0.342,0.42,7,9
HAIL,Zoloft,24/01/2020,1,5,1.749,1.893,3,12
MABELLA1,Emend,08/01/2020,1,20,0.342,0.42,1,9
MABELLA1,Risperdal,26/01/2020,1,26,0.975,1.07,1,18
W/SALE,A 5 MG TAB,16/01/2020,1,9,1.128,1.218,9,1
SHELL,Miralax,10/01/2020,1,10,1.921,2.087,4,4
SHELL,Advil,30/01/2020,1,23,0.497,0.582,4,6
W/SALE,Amaryl,24/01/2020,1,20,2.007,2.169,9,17
NOV 18TH,BE PLUS 30G,15/01/2020,1,22,1.802,1.934,2,14
MSQ,Emend,13/01/2020,1,27,0.342,0.42,7,9
MARS,Risperdal,17/02/2020,1,24,0.975,1.07,8,18
HAIL,Miralax,09/02/2020,1,1,1.921,2.087,3,4
W/SALE,Magne B6,13/01/2020,1,27,1.835,1.98,9,16
HAIL,Visine,20/01/2020,1,3,0.663,0.756,3,5
